,Unnamed: 0,district,rooms,size,level,max_levels,price
162,162,Do'stlik,2,63.0,5,9,42000.0
163,163,Olmazor,3,74.0,5,16,69000.0
164,164,Uchtepa,2,58.0,5,5,28900.0
165,165,Zilol,2,62.0,9,9,34000.0
166,166,Zilol,3,107.0,2,8,85000.0
167,167,Ulugʻbek,1,40.41,2,4,25000.0
168,168,Ittifoq,2,54.0,2,4,39000.0
169,169,Zilol,1,40.0,1,4,60000.0
170,170,Zilol,2,50.0,1,5,36500.0
171,171,Uchtepa,3,75.0,5,9,42000.0
172,172,Zilol,3,84.0,7,8,85000.0
173,173,Zilol,3,117.0,2,5,125000.0
174,174,Zilol,3,70.0,5,5,37000.0
175,175,Zilol,1,47.0,2,9,42000.0
176,176,Ittifoq,2,56.0,2,5,36000.0
177,177,Ittifoq,1,42.0,3,9,28000.0
178,178,Ittifoq,2,60.0,5,9,34000.0
179,179,Ittifoq,1,32.0,2,5,28500.0
180,180,Ittifoq,1,42.0,2,5,28500.0
181,181,Ittifoq,2,60.0,2,9,34500.0
182,182,Ittifoq,2,54.0,1,4,34500.0
183,183,Ittifoq,1,42.0,1,5,25500.0
184,184,Ittifoq,2,60.0,2,9,43500.0
185,185,Olmazor,2,72.0,7,9,63000.0
186,186,Uchtepa,3,80.0,1,4,39999.0
187,187,Ittifoq,1,33.0,2,4,24500.0
188,188,Do'stlik,2,61.0,3,5,41000.0
189,189,Zilol,4,187.0,2,5,210000.0
190,190,Zilol,2,63.0,5,5,36000.0
191,191,Ulugʻbek,2,60.0,5,5,34000.0
192,192,Ittifoq,1,29.0,2,4,23000.0
193,193,Zilol,2,63.0,5,5,36000.0
194,194,Bunyodkor,2,48.0,4,5,28500.0
195,195,Zilol,1,11.0,3,9,7500.0
196,196,Ittifoq,2,45.0,4,4,47000.0
197,197,Ulugʻbek,4,122.0,5,5,95000.0
198,198,Do'stlik,1,42.0,2,4,44000.0
199,199,Zilol,2,50.0,1,4,45000.0
200,200,Zilol,5,100.0,4,4,48000.0
201,201,Zilol,2,60.0,4,4,32000.0
202,202,Toshloq,2,50.0,2,4,47000.0
203,203,Zilol,3,78.0,5,9,70500.0
204,204,Toshloq,4,164.0,5,6,170000.0
205,205,Zilol,2,60.0,3,5,30500.0
206,206,Ittifoq,1,42.0,2,4,26000.0
207,207,Ittifoq,3,70.0,4,4,37500.0
208,208,Ittifoq,1,35.0,1,5,26500.0
209,209,Ittifoq,2,47.0,2,4,32000.0
210,210,Ittifoq,1,36.0,2,5,26500.0
211,211,Ittifoq,2,50.0,2,5,34500.0
212,212,Ittifoq,2,52.0,2,4,36500.0
213,213,Uchtepa,2,46.0,2,4,24500.0
214,214,Ittifoq,3,92.0,3,9,42500.0
215,215,Ittifoq,3,70.0,1,4,46000.0
216,216,Do'stlik,3,70.0,2,4,38500.0
217,217,Zilol,2,60.0,7,8,36000.0
218,218,Zilol,2,55.0,3,5,35000.0
219,219,Zilol,2,63.0,4,9,55500.0
220,220,Toshloq,2,89.0,4,12,81772.0
221,221,Toshloq,1,55.0,1,12,50533.0
222,222,Zilol,3,100.0,2,6,119000.0
223,223,Zilol,4,208.0,2,3,93000.0
224,224,Ittifoq,1,35.0,1,4,23800.0
225,225,Ittifoq,2,44.0,3,4,32900.0
226,226,Hayrobod,2,61.0,3,7,36000.0
227,227,Uchtepa,4,100.0,2,9,65000.0
228,228,Ittifoq,1,35.0,1,4,29800.0
229,229,Zilol,4,86.0,3,5,63000.0
230,230,Zilol,3,100.0,1,5,80000.0
231,231,Ulugʻbek,5,110.0,5,5,63500.0
232,232,Olmazor,3,75.0,6,9,110000.0
233,233,Ulugʻbek,3,70.0,1,5,62000.0
234,234,Шайхантахурский,3,70.0,4,5,36999.0
235,235,Toshloq,3,150.0,3,6,170000.0
236,236,Zargarlik,2,56.1,7,7,37000.0
237,237,Do'stlik,4,83.0,3,5,54000.0
238,238,Bunyodkor,2,49.0,4,4,23000.0
239,239,Ittifoq,2,46.0,2,4,38500.0
240,240,Ittifoq,2,46.0,4,4,36200.0
241,241,Ittifoq,3,68.0,4,4,45000.0
242,242,Ittifoq,3,65.0,1,5,45000.0
243,243,Ittifoq,4,76.0,4,4,43000.0
244,244,Ittifoq,1,42.0,2,5,26000.0
